CNPJ;Razao Social;Endereco;Telefone;Regime
01.603.710/0001;ROSELY TEREZINHA DE ANDRADE PIRAN Fantasia: LOJA HIBISCO;AVENIDA VISCONDE DO RIO BRANCO, 1810 SETOR 1;"(41) 3443-6686
(41) 99791-6510";SIMPLES NACIONAL
01.613.949/0001;MISTURA BRASIL SERVICOS E NEGOCIOS LTDA;AVENIDA PARANA, 1933 , BAIRRO FIGUEIRA;"(41) 99836-4446 
(41) 3442-1549";SIMPLES NACIONAL
01.623.527/0001;DIONAS ESMANIOTTO & CIA LTDA. Fantasia: RESTAURANTE FAMILIA ESMANIOTTO;;"(41) 3442-1281
(41) 99921-1281";SIMPLES NACIONAL
01.702.142/0001;INOVAWEB CONSULTORIA EMPRESARIAL LTDA;;"(41) 99882-8902 
(41) 99277-8638";SIMPLES NACIONAL
01.850.777/0001;JULIANO PAULO FERREIRA Fantasia: FRIGO ELAINE;;(41) 3442-1466;SIMPLES NACIONAL
01.951.683/0001;J. FERREIRA EMPREENDIMENTOS IMOBILIARIOS LTDA;AVENIDA VISCONDE DO RIO BRANCO, 565;"(41) 3797-3267
(41) 99559-5017";SIMPLES NACIONAL
01.951.683/0002;J. FERREIRA EMPREENDIMENTOS IMOBILIARIOS LTDA;AVENIDA MINAS GERAIS, 1 , BAIRRO COROADOS;(41) 3442-5003;SIMPLES NACIONAL
01.956.860/0001;MOTA - ARQUITETURA, ENGENHARIA E CONSTRUCAO LTDA;AVENIDA 29 DE ABRIL, 836 SALA 01, BAIRRO;"(41) 3442-1281
(41) 99921-1281";LUCRO PRESUMIDO
01.968.732/0001;CLARINDA & CORDEIRO LTDA Fantasia: PRENSADAO RATATUI;;(41) 99802-5998;SIMPLES NACIONAL
01.968.732/0002;CLARINDA & CORDEIRO LTDA Fantasia: LANCHONETE E PETISCARIA RATATUI;AVENIDA ATLANTICA, 01-B QUIOSQ, BAIRRO;(41) 3442-1549;SIMPLES NACIONAL
02.013.206/0001;CRIATIVA COMUNICACAO VISUAL LTDA Fantasia: GUARA GULA;AVENIDA DR JOAQUIM MENELAU DE ALMEIDA;(41) 99612-2264;SIMPLES NACIONAL
02.029.371/0001;ZONEI APARECIDO SARMENTO Fantasia: LITORAL KALHAS;AVENIDA VISCONDE DO RIO BRANCO, 4130 , BAIRRO;(41) 443-1475;SIMPLES NACIONAL
02.039.398/0004;STARTRON SERVICOS E COMERCIO DE ALARMES LTDA;AVENIDA CURITIBA, 964 CASA, BAIRRO CENTRO;(41) 3028-1919;PRESUMIDO OU LUCRO REAL
02.042.848/0001;ELIZABETE DE RAMOS BONDAN Fantasia: PENSAO E CANTINA ESTRELA DOURADA;;(41) 99769-2868;PRESUMIDO OU LUCRO REAL
02.054.972/0001;LIZABETE VIEIRA & CIA. LTDA. Fantasia: LOJAO DA BETY;AVENIDA MINAS GERAIS, 774 , BAIRRO COROADOS;(41) 472-6363;SIMPLES NACIONAL
02.075.839/0001;DECORARTE GUARATUBA LTDA Fantasia: DECORARTE;;(41) 3442-7025;SIMPLES NACIONAL
02.075.842/0001;FRAITAZ & FRAITAZ LTDA Fantasia: PANIFICADORA GIRASOL;;(41) 442-7917;SIMPLES NACIONAL
02.140.638/0001;RESTAURANTE RAQUELLE LTDA Fantasia: RESTAURANTE E PETISCARIA RAQUELLE;AVENIDA 29 DE ABRIL, 700 , BAIRRO CENTRO;(41) 442-1248;PRESUMIDO OU LUCRO REAL
02.152.782/0001;EVERALDO B. DE LIMA GESSOS Fantasia: GESSO GUARATUBA;AVENIDA PARANA, 1540 , BAIRRO VILA ESPERANCA;(41) 3472-3308;SIMPLES NACIONAL
02.156.650/0001;MARCENARIA GUARATUBA LTDA RUA CARLOS MAFRA, 999 , BAIRRO JURIMAR;;(041) 472-9249;SIMPLES NACIONAL
02.159.293/0001;BIO TRAMA FABRICACAO DE MOVEIS LTDA Fantasia: BIO TRAMA;;(47) 98412-7240;SIMPLES NACIONAL
02.184.582/0001;LIDIA GUELH Fantasia: ATLANTICA PRESENTES;AVENIDA CURITIBA, 1385 , BAIRRO CENTRO;"(41) 3472-2753
(47) 3434-2065";SIMPLES NACIONAL
02.295.710/0002;REINALDO MACHADO RUA JOSE NICOLAU ABAGGE, 1075 , BAIRRO;;"(41) 3442-1572
(41) 3442-1572";LUCRO PRESUMIDO
02.298.710/0002;L.F.S. CHERCHIGLIA AVENIDA ATLANTICA, 2044 , BAIRRO BREJATUBA;AVENIDA ATLANTICA, 2044 , BAIRRO BREJATUBA;(041) 442-1195;PRESUMIDO OU LUCRO REAL
02.298.710/0001;L.F.S. CHERCHIGLIA AVENIDA CURITIBA, 954 , BAIRRO BREJATUBA;AVENIDA CURITIBA, 954 , BAIRRO BREJATUBA;(41) 472-2295;PRESUMIDO OU LUCRO REAL
02.298.710/0003;L.F.S. CHERCHIGLIA Fantasia: MILKA CALCADOS;;(041) 442-1195;PRESUMIDO OU LUCRO REAL
02.353.739/0001;KATYA JAMUR BRUNETTI LUCINDA Fantasia: KARIMAR RESTAURANTE E LANCHETERIA;AVENIDA ANTONIO ROCHA, 1070 , BAIRRO FERRY;(41) 3442-1058;SIMPLES NACIONAL
02.363.560/0001;CLEOMAR PORTELA QUADRA Fantasia: PORTELLA CONSTRUCOES;;(41) 3443-1105;SIMPLES NACIONAL
02.374.933/0001;W. GUTUZZO Fantasia: W3 PEIXES;AVENIDA SAO MATEUS DO SUL, S/N TERREO,;"(41) 3233-1797
(41) 99908-2087 
w3";PRESUMIDO OU LUCRO REAL
02.386.733/0001;IVANIR DE OLIVEIRA DUARTE RUA JARDIM VANESSA, 22 , BAIRRO CENTRO;;(041) 472-2020;SIMPLES NACIONAL
02.439.994/0001;EDISON DE MELLO Fantasia: EDTEL CALHAS;;"(41) 3443-6299
(41) 99658-2618";SIMPLES NACIONAL
02.487.678/0001;S.R.H.REPRESENTACOES COMERCIAIS LTDA AVENIDA CORNELIO PROCOPIO, 278 , BAIRRO;AVENIDA CORNELIO PROCOPIO, 278 , BAIRRO;(41) 3342-1632;LUCRO PRESUMIDO
02.587.876/0001;GILMAR BELLUZZO & CIA LTDA Fantasia: ESQUADRIAS VITORIA;;(041) 472-1097;SIMPLES NACIONAL
02.742.103/0001;MARUMBI - ARTEFATOS DE CIMENTO LTDA AVENIDA DAMIAO BOTELHO DE SOUZA, 611 ,;AVENIDA DAMIAO BOTELHO DE SOUZA, 611 ,;(041) 0422-2413;SIMPLES NACIONAL
02.754.973/0001;KALAT & ARAUJO KALAT LTDA RUA TIBAGI, 652 , BAIRRO COHAPAR;;(041) 442-2277;PRESUMIDO OU LUCRO REAL
02.761.750/0001;LUIS FERNANDO KARWEL Fantasia: CONVENIENCIAS KARWEL;AVENIDA RIO NEGRO, SN , BAIRRO COROADOS;(41) 3472-6431;PRESUMIDO OU LUCRO REAL
02.787.642/0001;JURACI TEREZINHA BIANCO Fantasia: DISTRIBUIDORA SANTA MARIA;;(41) 3472-1252;PRESUMIDO OU LUCRO REAL
02.787.642/0002;JURACI TEREZINHA BIANCO RUA CAPITAO JOAO PEDRO, 80 , BAIRRO CENTRO;;(041) 472-1252;PRESUMIDO OU LUCRO REAL
02.787.642/0003;JURACI TEREZINHA BIANCO Fantasia: AVIRIO SANTA MARIA;;(41) 472-1252;PRESUMIDO OU LUCRO REAL
02.798.801/0001;DULCILENE APARECIDA ROQUE MARTINIS Fantasia: PET SHOP FAROFINO;;(41) 3472-3343;SIMPLES NACIONAL
02.798.801/0002;DULCILENE APARECIDA ROQUE MARTINIS Fantasia: PET SHOP FAROFINO I.I;;(41) 3472-3737;SIMPLES NACIONAL
02.881.232/0001;CASA E PRAIA - ARTESANATOS LTDA. Fantasia: CASA & PRAIA;AVENIDA 29 DE ABRIL, 330 LOJA 02, BAIRRO;(041) 442-1245;PRESUMIDO OU LUCRO REAL
02.907.262/0001;G.R. DE ALBUQUERQUE & CIA LTDA Fantasia: PANIFICADORA E MERCEARIA SUPER PAO;;(41) 3442-6844;SIMPLES NACIONAL
02.919.349/0001;FATIMA APARECIDA FURLANETO ALVES Fantasia: CHAVEIRO GUARATUBA;AVENIDA 29 DE ABRIL, 150 LOJA 03, BAIRRO;"(41) 3472-1668
(41) 3442-1549";SIMPLES NACIONAL
02.940.538/0001;CLEUSA MARIA ANDREATA BISS RAMOS Fantasia: CLEUSA RAMOS - CORRETORA DE;AVENIDA CURITIBA, 1137 SALA 01, BAIRRO;(41) 99787-8419;SIMPLES NACIONAL
02.953.945/0001;RESTAURANTE E LANCHONETE RECANTO DA PRAINHA LTDA;;(041) 223-7198;SIMPLES NACIONAL
03.062.029/0001;ARTESANATOS CAYCARA LTDA. Fantasia: ARTESANATOS CAYCARA;;(41) 442-2489;SIMPLES NACIONAL
03.087.868/0001;MARINA GUARA PESCA LTDA AVENIDA PONTA GROSSA, 61 , BAIRRO CENTRO;AVENIDA PONTA GROSSA, 61 , BAIRRO CENTRO;(041) 223-4046;SIMPLES NACIONAL
03.189.548/0001;DILCEMAR RAQUELLE Fantasia: RAQUELLE MOVEIS PLANEJADOS;;(41) 3443-1479;SIMPLES NACIONAL
03.303.704/0001;TEREZINHA DA GRACA DUDA RAMOS RUA HILDA MIRANDA DE MORAIS SARMENTO, 1706 ,;;(41) 3442-5885;SIMPLES NACIONAL
03.312.390/0001;MARTONE CONSTRUCAO E INCORPORACAO DE IMOVEIS LTDA;AVENIDA VISCONDE DO RIO BRANCO, 1600 APT 6;"(41) 99914-5760 
(41) 99964-3678";PRESUMIDO OU LUCRO REAL
03.367.496/0001;FUNERARIA GUARATUBA LTDA Fantasia: FUNERARIA GUARATUBA;;(47) 3433-0921;SIMPLES NACIONAL
03.412.490/0003;PROMOFAIR PUBLICIDADE E EVENTOS LTDA Fantasia: ARIEL SOM E LUZES;;(42) 3224-7357;SIMPLES NACIONAL
03.415.310/0002;S O S SAO JOSE LTDA Fantasia: AUTO SOCORRO SAO JOSE;;(41) 383-5987;SIMPLES NACIONAL
03.417.405/0001;DISTRIBUIDORA DISTRITAL LTDA Fantasia: DISTRIBUIDORA DISTRITAL;;(41) 442-1549;PRESUMIDO OU LUCRO REAL
03.437.601/0001;NEIDE SANTINA DO NASCIMENTO Fantasia: LIVRARIA E PAPELARIA EVANGELICA;AVENIDA VIEIRA DOS SANTOS, 509 SALA 04, BAIRRO;(41) 472-1252;PRESUMIDO OU LUCRO REAL
03.472.692/0001;RESTAURANTE BEIRA DA BAIA LTDA IATE CLUBE DE CAIOBA - PONTA DO MORRO, S/N ,;;(041) 442-1942;PRESUMIDO OU LUCRO REAL
03.479.131/0004;TROPICAL COCO LTDA Fantasia: TROPICAL COCO;;(41) 383-5588;SIMPLES NACIONAL
03.494.801/0001;LUCIANO PANCHYNIAK Fantasia: TUPI AUTOCENTER;;(41) 3442-6334;SIMPLES NACIONAL
03.494.801/0002;LUCIANO PANCHYNIAK Fantasia: AUTO PECAS SAO JORGE;;(41) 3624-1901;SIMPLES NACIONAL
03.539.613/0002;ROSELI SANTANA DA CRUZ BELUCI RUA CAPITAO JOAO PEDRO, 80 , BAIRRO CENTRO;;(41) 3453-2109;SIMPLES NACIONAL
03.558.359/0001;JONNY T. BASSO - APOIO ADMINISTRATIVO RUA NEWTON DE SOUZA, 284 , BAIRRO CENTRO;;(41) 99632-7866;PRESUMIDO OU LUCRO REAL
03.565.162/0001;ALEX ELIAS ANTUN & CIA. LTDA Fantasia: FISICLIN;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
03.565.174/0001;M.M. BURDA Fantasia: REFRIGERACAO GUARATUBA - SOFT AR;;(041) 442-1572;SIMPLES NACIONAL
03.569.319/0001;OLIVEIRA PARTICIPACOES, EMPREENDIMENTOS E ADMINISTRACAO LTDA;;(41) 3442-2066;SIMPLES NACIONAL
03.574.835/0001;J. R. NASCIMENTO CORDEIRO AVENIDA 29 DE ABRIL, 304 , BAIRRO CENTRO;AVENIDA 29 DE ABRIL, 304 , BAIRRO CENTRO;(041) 442-1258;PRESUMIDO OU LUCRO REAL
03.585.464/0001;RAFAEL CANEPARO GOMES DE ANDRADE LTDA;AVENIDA 29 DE ABRIL, 431 , BAIRRO CENTRO;(41) 99661-7004;SIMPLES NACIONAL
03.610.566/0001;OBJETIVA IMOVEIS LTDA Fantasia: OBJETIVA IMOVEIS;AVENIDA CURITIBA, 723 SALA 01, BAIRRO CENTRO;(41) 3472-3308;SIMPLES NACIONAL
03.657.971/0001;ESCOLA NOVO ESPACO EDUCACAO INFANTIL E ENSINO FUNDAMENTAL LTDA;;(41) 3472-2726;SIMPLES NACIONAL
03.879.579/0001;M A B HERNASKI LTDA RUA DR JOAO CANDIDO, 127 SALA 01, BAIRRO;;(41) 99888-1830;LUCRO REAL
03.887.269/0002;MAX FORCE MOTORS COMERCIO DE PECAS, ACESSORIOS E VEICULOS USADOS LTDA;;"(41) 98534-9999 
(43) 99945-3889";PRESUMIDO OU LUCRO REAL
03.938.664/0001;ANDRESSA FABIANY BRIDAROLLI Fantasia: CIBER CAFE BRIDAS;;(41) 472-2902;PRESUMIDO OU LUCRO REAL
03.999.180/0001;MAURICIO B. MIRANDA AVENIDA DAMIAO BOTELHO DE SOUZA, S/N BOX 03,;AVENIDA DAMIAO BOTELHO DE SOUZA, S/N BOX 03,;(41) 3472-3122;PRESUMIDO OU LUCRO REAL
04.210.964/0001;RAQUEL VIEIRA HENRIQUE LEITE Fantasia: IMPLACAVEL VIGILANCIA 24 HORAS;;"(41) 3453-1585
(41) 3453-1585";SIMPLES NACIONAL
04.235.977/0001;MIRIM 4 ESTACOES LTDA Fantasia: GIFT;AVENIDA ROCHA POMBO, 270 LOTE 005A9;"(41) 99717-3241 
4";SIMPLES NACIONAL
04.237.766/0001;SR. BOTECO RESTAURANTE LTDA Fantasia: O SENHOR BOTECO;AVENIDA DAMIAO BOTELHO DE SOUZA, 2727 ,;(41) 99661-0833;SIMPLES NACIONAL
04.241.596/0001;DAVID DE SOUZA PRO-SOM LTDA Fantasia: EQUIPE PRO-SOM COMERCIO E LOCACAO;AVENIDA SANTA CATARINA, 119 , BAIRRO;(41) 3472-6563;SIMPLES NACIONAL
04.241.605/0001;P. A. NASCIMENTO & CIA. LTDA RUA VIEIRA DOS SANTOS, 291 SALA 04, BAIRRO;;(041) 442-1281;SIMPLES NACIONAL
04.300.274/0001;ELCIO VIEIRA DE GODOY Fantasia: LANCHONETE WELCOME LAS PIEDRAS;;(41) 3442-1217;PRESUMIDO OU LUCRO REAL
04.325.214/0001;ANDRE LUIZ NAZAR Fantasia: MERCADO NAZAR;AVENIDA QUATIGUA, 50 SALA, BAIRRO COHAPAR II;"(41) 3472-3554
(41) 3472-4549";SIMPLES NACIONAL
04.326.760/0001;MACEDO, GIAMBERARDINO & CIA LTDA Fantasia: CLINICA DR. RUY C. MACEDO JR;;(41) 3472-2373;SIMPLES NACIONAL
04.329.354/0001;CASA DAS PEDRAS ALEMAO LTDA Fantasia: CASA DAS PEDRAS ALEMAO;AVENIDA VISCONDE DO RIO BRANCO, 4000 , BAIRRO;(41) 3442-6775;SIMPLES NACIONAL
04.337.304/0001;JUSSARA ZINI RISDEN Fantasia: PAULO E BETO LANCHES;;(41) 3442-1058;SIMPLES NACIONAL
04.371.160/0001;FFR CONFECCOES LTDA Fantasia: LOJAS BERIMBAU;;(041) 442-1281;PRESUMIDO OU LUCRO REAL
04.408.154/0001;SERRA DO MAR CONSTRUCOES E SANEAMENTO LTDA;AVENIDA SETE DE SETEMBRO, 940 , BAIRRO;(41) 472-1000;PRESUMIDO OU LUCRO REAL
04.415.479/0001;RELUKE LANCHONETE E RESTAURANTE LTDA Fantasia: RELUKE LANCHES;AVENIDA VISCONDE RIO BRANCO, 5000 , BAIRRO;"(41) 3442-1882
luciobuss68";SIMPLES NACIONAL
04.423.549/0001;HUDSON P. DE ARAUJO & CIA LTDA Fantasia: REFRIGAS ELETRO REFRIGERACAO;AVENIDA DAMIAO BOTELHO DE SOUZA, 1625 ,;(41) 472-9134;SIMPLES NACIONAL
04.530.657/0001;LEDA MARCIA DE LIMA ALVES & CIA. LTDA AVENIDA CURITIBA, 1123 SALA 02, BAIRRO;AVENIDA CURITIBA, 1123 SALA 02, BAIRRO;(41) 443-1298;PRESUMIDO OU LUCRO REAL
04.533.670/0001;ALTAMIR PORTES PADILHA Fantasia: BAR PADILHA;;(41) 3472-3308;SIMPLES NACIONAL
04.558.064/0001;ELTON PAVANATTI MERCADO LTDA Fantasia: CONVENIENCIA BRASIL;AVENIDA ILHA DAS GARCAS, S/N QUADRA302 LOTE;(41) 3442-1572;PRESUMIDO OU LUCRO REAL
04.617.736/0001;J. C. KOSZELA RUA JOINVILLE, 1 , BAIRRO PICARRAS;;(41) 3472-1624;SIMPLES NACIONAL
04.625.640/0001;CRISTANI & LINDEN LTDA Fantasia: MERCADO CRISTANI;AVENIDA CURITIBA, 1029 , BAIRRO CENTRO;"(46) 3533-1175
(46) 3533-1175";SIMPLES NACIONAL
04.639.215/0001;LOGICA SERVICOS LOTERICOS LTDA Fantasia: LOGICA LOTERIAS;;(41) 3442-5546;SIMPLES NACIONAL
04.655.894/0001;VELSER - FACTORING LTDA RUA VEREADOR PAULO G. SAPORSKI FILHO, 2030 ,;;(41) 99978-2169;PRESUMIDO OU LUCRO REAL
04.686.070/0002;POUSADA SOBRE AS ONDAS LTDA Fantasia: RESTAURANTE E POUSADA SOBRE AS;;(41) 3472-4739;SIMPLES NACIONAL
04.686.070/0001;POUSADA SOBRE AS ONDAS LTDA Fantasia: RESTAURANTE E POUSADA SOBRE AS;;(041) 443-1740;SIMPLES NACIONAL
04.690.774/0001;ALEXANDRE VICENTIN PETISCARIA RODOVIA FERRY-BOAT, 2440 PARTE, BAIRRO;;"(41) 3267-2588
(41) 98835-6344";SIMPLES NACIONAL
04.763.378/0001;ALESSANDRA JAGIELSKI Fantasia: BRIFORT COMERCIO DE AREIA E BRITA;;(41) 3442-7099;SIMPLES NACIONAL
04.806.746/0001;MAXILIMP LTDA Fantasia: UNIVERSO TRANSPORTES E;;"(41) 99192-8382 
camore15";PRESUMIDO OU LUCRO REAL
04.846.511/0001;MARCO AURELIO PESSA AVENIDA DAMIAO BOTELHO DE SOUZA, 500 ,;AVENIDA DAMIAO BOTELHO DE SOUZA, 500 ,;(41) 99978-2169;PRESUMIDO OU LUCRO REAL
04.873.547/0001;EMPRESA FUNERARIA BOM JESUS DE GUARATUBA LTDA;;(41) 442-2146;SIMPLES NACIONAL
04.879.084/0001;CHURRASCARIA GUARA GRILL LTDA AVENIDA 29 DE ABRIL, 918 , BAIRRO CENTRO;AVENIDA 29 DE ABRIL, 918 , BAIRRO CENTRO;(41) 443-1140;PRESUMIDO OU LUCRO REAL
04.888.432/0001;GRUPPO CORRETORA DE SEGUROS LTDA RUA RUA DA LAPA, 152 APT 301, BAIRRO CENTRO;;(41) 99555-5049;SIMPLES NACIONAL
04.951.510/0001;ELCIO FABICIACK Fantasia: MADEREIRA BOM PAI;;(41) 472-3453;SIMPLES NACIONAL
04.978.795/0001;LUCIMARA LEAL ROSA Fantasia: CASA DE CARNES E MERCEARIA GUINARA;AVENIDA DAMIAO BOTELHO DE SOUZA, 1691 ,;(41) 472-1252;PRESUMIDO OU LUCRO REAL
05.026.946/0001;EDIANE A. S. DUARTE RIBEIRO Fantasia: TELE - E. W. SEGURANA E COMUNICAO;;(041) 453-2920;PRESUMIDO OU LUCRO REAL
05.029.397/0001;RESTAURANTE DO DADO LTDA. RUA CAPITAO JOAO PEDRO, 138 , BAIRRO CENTRO;;(41) 3472-3558;SIMPLES NACIONAL
05.055.513/0001;LUIZ ROBERTO CORREA & CIA LTDA Fantasia: CENTRAL EMBALAGENS DOCES E FESTAS;;(41) 3453-2332;SIMPLES NACIONAL
05.060.239/0001;MARCO AURELIO SILVEIRA Fantasia: VIDRACARIA CATARINENSE;;(41) 3472-1252;PRESUMIDO OU LUCRO REAL
05.077.171/0001;E. A. DE SOUZA WAGNER Fantasia: MARE MOTOS;AVENIDA PONTA GROSSA, 69 , BAIRRO CENTRO;(41) 472-1252;SIMPLES NACIONAL
05.197.016/0001;JUAREZ MIRANDA ARAUJO & CIA. LTDA Fantasia: MIRANDA ALIMENTOS;;(41) 99625-3008;PRESUMIDO OU LUCRO REAL
05.201.234/0001;SANDRA SCHIMITD Fantasia: BRAHMEIRO'S CERVEJARIA E;AVENIDA VISCONDE DO RIO BRANCO, 177 , BAIRRO;(41) 3472-1252;SIMPLES NACIONAL
05.243.414/0001;MURASKI IMOVEIS LTDA Fantasia: MURASKI IMOVEIS;AVENIDA 29 DE ABRIL, 548 , BAIRRO CENTRO;(41) 3472-3308;SIMPLES NACIONAL
05.243.414/0002;MURASKI IMOVEIS LTDA Fantasia: MURASKI IMOVEIS;AVENIDA VISCONDE DO RIO BRANCO, 1440 , BAIRRO;(41) 3472-3308;SIMPLES NACIONAL
05.286.160/0001;ACACIA COMERCIO DE EQUIPAMENTOS DE SEGURANCA LTDA;;(41) 98438-2792;SIMPLES NACIONAL
05.299.139/0001;MAPA BASICO MODA PRAIA LTDA Fantasia: PSARI;;(41) 99991-0544;SIMPLES NACIONAL
05.307.019/0001;ROSEGIL LUIZ DELEZU & CIA LTDA Fantasia: FRANCYS CONFECCOES;AVENIDA DAMIAO BOTELHO DE SOUZA, 520 SALA;(41) 472-1252;PRESUMIDO OU LUCRO REAL
05.323.858/0001;LUIZ HENRIQUE GARCIA & CIA LTDA AVENIDA 29 DE ABRIL, 609 , BAIRRO CENTRO;AVENIDA 29 DE ABRIL, 609 , BAIRRO CENTRO;(41) 442-1572;SIMPLES NACIONAL
05.332.159/0001;DALPIAZ CORRETORA DE SEGUROS LTDA AVENIDA SAO PAULO, 1200 , BAIRRO COROADOS;AVENIDA SAO PAULO, 1200 , BAIRRO COROADOS;(41) 99957-9802;SIMPLES NACIONAL
05.388.387/0001;PORTO DA LUA LTDA Fantasia: POUSADA PORTO DA LUA;;(41) 3442-2103;SIMPLES NACIONAL
05.395.916/0001;SAGRA - ADMINISTRACAO E PARTICIPACOES LTDA;AVENIDA VISCONDE DO RIO BRANCO, 3.777 ,;(41) 334-2080;LUCRO PRESUMIDO
05.403.117/0001;ALDINIR VILLA REAL LTDA Fantasia: POUSADA ATLANTICA;AVENIDA ATLANTICA, 1000 , BAIRRO CENTRO;(41) 442-1572;SIMPLES NACIONAL
05.403.117/0002;ALDINIR VILLA REAL LTDA AVENIDA ATLANTICA, SN QUADRA01 LOTE 01;AVENIDA ATLANTICA, SN QUADRA01 LOTE 01;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
05.443.077/0001;R. SADZINSKI & CIA. LTDA AVENIDA 29 DE ABRIL, 889 , BAIRRO CENTRO;AVENIDA 29 DE ABRIL, 889 , BAIRRO CENTRO;(41) 442-2487;SIMPLES NACIONAL
05.470.150/0001;PAULO A. B. RIBAS Fantasia: GARAGEM NAUTICA FAROL;;(41) 472-1358;PRESUMIDO OU LUCRO REAL
05.495.811/0002;VALGNEI CARVALHO MENEZES Fantasia: PARAIBA GAS;;(41) 3472-3308;SIMPLES NACIONAL
05.495.811/0001;VALGNEI CARVALHO MENEZES Fantasia: PARAIBA GAS, AGUA E BEBIDAS;AVENIDA PARANA, 38 , BAIRRO VILA ESPERANCA;(41) 3472-3308;SIMPLES NACIONAL
